index,genres,keywords,original_language,popularity,production_companies,release_date,runtime,tagline,title,vote_average,cast,director
4616,Documentary,woman director,en,0.025211,"[{""name"": ""Vixen Films"", ""id"": 82784}]",03-09-2005,104,,Sisters in Law,7.3,,Kim Longinotto
4617,Documentary,philosophy india healing,en,0.055868,"[{""name"": ""Pandora Filmproduktion"", ""id"": 254}, {""name"": ""Monsoon Films Private Limited"", ""id"": 13198}, {""name"": ""Pan Nalin Pictures"", ""id"": 13199}, {""name"": ""Sunrise Filmvertriebs AG"", ""id"": 13200}]",20-09-2001,101,,Ayurveda: Art of Being,5.5,,Pan Nalin
4618,Drama,,en,0.008453,"[{""name"": ""DuArt Film and Video"", ""id"": 34166}, {""name"": ""Nothing But a Man Company"", ""id"": 80405}]",01-01-1964,95,,Nothing But a Man,7,Ivan Dixon Abbey Lincoln Julius Harris Gloria Foster Martin Priest,Michael Roemer
4619,Drama,sex misfit boring,en,0.374291,"[{""name"": ""Forensic Films"", ""id"": 2813}, {""name"": ""Toast Films"", ""id"": 40126}]",07-08-1998,94,,"First Love, Last Rites",3,Giovanni Ribisi Natasha Gregson Wagner Donal Logue Robert John Burke Jeannetta Arnette,Jesse Peretz
4620,Action Adventure Drama,boxer massage unrequited love locker room independent film,en,0.045429,[],06-05-2005,0,,Fighting Tommy Riley,5.3,J.P. Davis Eddie Jones Christina Chambers Diane Tayler,Eddie O'Flaherty
4621,Action Thriller,bodyguard princess female assassin soldier heir,en,1.088501,"[{""name"": ""21st Century Film Production"", ""id"": 77472}]",10-04-2009,90,,Royal Kill,2.8,Pat Morita Eric Roberts Gail Kim Lalaine Alexander Wraith,Babar Ahmed
4622,,,en,0.062979,"[{""name"": ""Filmacres"", ""id"": 66152}]",23-10-2015,110,,The Looking Glass,7,Dorothy Tristan Jace Casey Jace Casey Harry Musselwhite Elizabeth Stenholt,John D. Hancock
4623,Action Comedy Science Fiction,dystopia street race reality spoof,en,6.473667,"[{""name"": ""New World Pictures"", ""id"": 1950}]",27-04-1975,80,A Cross Country Road Wreck!,Death Race 2000,5.9,David Carradine Simone Griffeth Sylvester Stallone Mary Woronov Roberta Collins,Paul Bartel
4624,Horror Drama Thriller,terror anthology suspense,en,1.905197,[],29-03-2014,90,,Locker 13,6.8,Ricky Schroder Jon Gries Tatyana Ali Jason Marsden Rick Hoffman,Jason Marsden
4625,Horror,,en,0.001389,[],01-01-1990,94,The hot spot where Satan's waitin'.,Midnight Cabaret,0,Lisa Hart Carroll Michael Des Barres Paul Drake Laura Harrington Thom Mathews,Pece Dingo
4626,Romance Comedy Drama,coming of age,en,0.006323,"[{""name"": ""Illumination Pictures"", ""id"": 46102}]",20-05-2010,98,Sometimes the boy next door is more than the boy next door...,Anderson's Cross,0,Joanna Cassidy Joyce Guy Bill Moseley Jerome Elston Scott Alan Blumenfeld,Jerome Elston Scott
4627,Drama Romance,,en,0.583446,"[{""name"": ""Eivissa Productions"", ""id"": 72942}, {""name"": ""Bushwick Factory"", ""id"": 72943}]",07-02-2015,99,,Bizarre,6.2,Pierre Prieur Adrian James Raquel Nave Rebekah Underhill Charlie Himmelstein,\u00c9tienne Faure
4628,Horror,slasher,en,1.452199,[],01-05-1981,96,Some kids are dying to graduate...,Graduation Day,5,Christopher George Billy Hufsey Patch Mackenzie E. Danny Murphy E. J. Peaker,Herb Freed
4629,Comedy Horror Thriller,,en,2.733725,[],14-04-2011,97,Your number is up.,Some Guy Who Kills People,5.7,Kevin Corrigan Barry Bostwick Karen Black Leo Fitzpatrick Ariel Gade,Jack Perez
4630,Drama Thriller Crime,,en,8.942203,"[{""name"": ""Muskat Filmed Properties"", ""id"": 10989}, {""name"": ""Bad Cop Bad Cop Film Productions"", ""id"": 12649}, {""name"": ""Dogfish Pictures"", ""id"": 12650}]",23-08-2012,90,Power. Manipulation. Obedience.,Compliance,6.3,Ann Dowd Dreama Walker Pat Healy Philip Ettinger James McCaffrey,Craig Zobel
4631,Comedy Drama Romance,new jersey coming out love of one's life bisexuality menage a trois,en,20.601483,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""View Askew Productions"", ""id"": 16934}]",04-04-1997,113,It's not who you love. It's how.,Chasing Amy,6.7,Ben Affleck Joey Lauren Adams Jason Lee Dwight Ewell Jason Mewes,Kevin Smith
4632,Comedy Drama Romance,woman director,en,1.45917,[],31-08-2001,91,,Lovely & Amazing,6.3,Catherine Keener Brenda Blethyn Emily Mortimer Jake Gyllenhaal James Le Gros,Nicole Holofcener
4633,,,en,0.005883,[],01-09-2010,0,,Death Calls,0,,
4634,Crime Drama,,en,3.877036,[],12-01-2002,101,Never underestimate an overachiever.,Better Luck Tomorrow,6.5,Parry Shen Jason Tobin Sung Kang Karin Anna Cheung Roger Fan,Justin Lin
4635,Comedy Drama Romance,lesbian relationship independent film lesbian interest lgbt woman director,en,1.70819,[],16-06-1995,94,,The Incredibly True Adventure of Two Girls In Love,5.7,Laurel Holloman Maggie Moore Kate Stafford Nicole Ari Parker Toby Poser,Maria Maggenti
4636,Comedy Drama,gay independent film mentally handicapped man,en,0.812855,[],21-01-2000,96,REMEMBER THOSE GAMES WE USED TO PLAY?,Chuck & Buck,5.7,Mike White Chris Weitz Lupe Ontiveros Maya Rudolph Paul Weitz,Miguel Arteta
4637,Drama Comedy Romance,tradition indian lead roommate culture clash college,en,0.126304,[],01-01-2001,100,,American Desi,5,Kal Penn Purva Bedi Deep Katdare Ronobir Lahiri Rizwan Manji,Piyush Dinker Pandya
4638,Drama Action Crime,,en,0.018087,"[{""name"": ""Daniel Columbie Films & Productions"", ""id"": 72267}]",01-12-2014,90,"Prequel to ""5th of a Degree.""",Amidst the Devil's Wings,0,,
4639,Thriller Science Fiction Mystery,riddle autism claustrophobia maze prime number,en,44.656151,"[{""name"": ""T\u00e9l\u00e9film Canada"", ""id"": 806}, {""name"": ""Feature Film Project"", ""id"": 21953}, {""name"": ""Cube Libre"", ""id"": 22207}, {""name"": ""Harold Greenberg Fund"", ""id"": 22208}, {""name"": ""Odeon Films"", ""id"": 22209}, {""name"": ""Ontario Film Development Corporation"", ""id"": 22210}, {""name"": ""Viacom Canada"", ""id"": 22211}]",09-09-1997,90,Don't look for a reason... Look for a way out.,Cube,6.9,Nicole de Boer Nicky Guadagni David Hewlett Andrew Miller Julian Richings,Vincenzo Natali
4640,Comedy Romance,independent film woman director,it,0.619348,[],01-08-1996,78,,Love and Other Catastrophes,5.8,Matt Day Matthew Dyktynski Alice Garner Frances O'Connor Radha Mitchell,Emma-Kate Croghan
4641,Drama Comedy Animation,,en,0.293649,"[{""name"": ""Bill Plympton Studios"", ""id"": 41680}]",28-08-1998,72,,I Married a Strange Person!,7.5,Charis Michelsen Tom Larson Richard Spore,Bill Plympton
4642,Drama Mystery Thriller,post traumatic stress  disorder photographer loss of lover professor trauma,en,5.742359,"[{""name"": ""IFC Productions"", ""id"": 26468}]",22-07-2004,73,,November,4.9,Courteney Cox James Le Gros Michael Ealy Nora Dunn Nick Offerman,Greg Harrison
4643,Drama Romance,chair customs student visa parents blogger,en,21.825564,"[{""name"": ""Paramount Vantage"", ""id"": 838}, {""name"": ""Andrea Sperling Productions"", ""id"": 2313}, {""name"": ""Indian Paintbrush"", ""id"": 9350}, {""name"": ""Super Crispy Entertainment"", ""id"": 13369}, {""name"": ""Ascension Productions"", ""id"": 21892}]",28-10-2011,90,I Want You. I Need You. I Love You. I Miss You.,Like Crazy,6.4,Anton Yelchin Felicity Jones Jennifer Lawrence Charlie Bewley Alex Kingston,Drake Doremus
4644,Horror,,en,0.055325,[],10-03-2015,96,,Teeth and Blood,3,Glenn Plummer Michelle Van Der Water Danielle Vega Greg Eagles,
4645,Comedy,woman director,en,0.375423,"[{""name"": ""Channel Four Films"", ""id"": 181}, {""name"": ""October Films"", ""id"": 236}]",17-09-1999,92,,Sugar Town,5.5,John Taylor Michael Des Barres Martin Kemp Jade Gordon Larry Klein,Allison Anders
4646,Drama Comedy,,en,0.120505,[],01-01-2005,75,Out of Place in the Middle of Nowhere.,The Motel,7,Jeffrey Chyau Sung Kang Jade Wu Samantha Futerman Alexis Chang,Michael Kang
4647,Thriller Drama,sex adultery jealousy nudity seduction,en,6.978907,"[{""name"": ""Filmworks/FX"", ""id"": 40796}, {""name"": ""Prettybird"", ""id"": 40797}, {""name"": ""Post Empire Films"", ""id"": 40798}, {""name"": ""Sodium Fox"", ""id"": 40799}]",29-07-2013,99,It's not the hills.,The Canyons,4.1,Lindsay Lohan James Deen Gus Van Sant Nolan Gerard Funk Amanda Brooks,Paul Schrader
4648,Drama,prison drug dealer single mother teenage pregnancy woman director,en,0.493223,"[{""name"": ""Youth House Productions"", ""id"": 81962}, {""name"": ""Fader Films"", ""id"": 81963}]",11-09-2004,86,A drug dealer. An addict. A runaway. The story of 3 girls.,On the Outs,5.9,Judy Marte Paola Mendoza Flaco Navaja Dominic Col\u00f3n Edward O'Blenis,Lori Silverbush
4649,Drama Thriller,brother brother relationship loss of father arkansas,en,5.251143,"[{""name"": ""Upload Films"", ""id"": 6724}, {""name"": ""Muskat Filmed Properties"", ""id"": 10989}, {""name"": ""A Lucky Old Sun Production"", ""id"": 19148}]",01-10-2007,92,Two families. One feud. No going back.,Shotgun Stories,6.9,Michael Shannon Glenda Pannell Lynnsee Provence Douglas Ligon Barlow Jacobs,Jeff Nichols
4650,Thriller Mystery,gun room suspicion guard pill,en,20.265518,"[{""name"": ""Hazeldine Films"", ""id"": 5004}, {""name"": ""Bedlam Productions"", ""id"": 5005}]",19-06-2009,101,How far would you go to win the ultimate job?,Exam,6.6,Luke Mably Adar Beck Chris Carey Gemma Chan Nathalie Cox,Stuart Hazeldine
4651,Science Fiction Drama,future bisexuality time travel woman director,en,0.130169,[],06-06-1997,90,,The Sticky Fingers of Time,4.8,Terumi Matthews Nicole Zaray Belinda Becker James Urbaniak Thomas Pasley,Hilary Brougher
4652,Music,high school woman director,en,0.46049,"[{""name"": ""The Asylum"", ""id"": 1311}, {""name"": ""Asylum"", ""id"": 6306}]",21-10-2008,93,,Sunday School Musical,5.5,Chris Chatman Candise Lakota Krystle Connor Robert Acinapura Amy Ganser,Rachel Goldenberg
4653,Drama,,en,0.399491,[],07-10-2010,94,,Rust,0,Corbin Bernsen Frank Gallacher Lloyd Warner Audrey Lynn Tennent,Corbin Bernsen
4654,Action Fantasy,supernatural father daughter relationship incubus,en,5.217002,"[{""name"": ""Double Edge Films"", ""id"": 21733}]",23-01-2009,106,dreams,Ink,6.4,Chris Kelly Jessica Duffy Quinn Hunchar Jeremy Make Jennifer Batter,Jamin Winans
4655,Drama Family,,en,0.065103,"[{""name"": ""Honey Creek Pictures"", ""id"": 8077}]",28-11-2010,96,Everybody needs some bunny to love.,The Christmas Bunny,5.7,Sophie Bolen Madeline Vail  Colby French Florence Henderson Charles Beale ,Tom Seidman 
4656,Crime Drama,nudity seduction,en,1.063615,"[{""name"": ""Par-Par Productions"", ""id"": 17668}]",05-02-1982,107,A Controversial Thriller of Murder and Revenge.,Butterfly,5,Stacy Keach Pia Zadora Orson Welles Ed McMahon June Lockhart,Matt Cimber
4657,,,en,0.010607,[],01-02-2013,0,,UnDivided,0,,
4658,Horror Thriller,bickering accident denial of death,en,1.084387,[],10-10-2012,0,,The Frozen,4.2,Brit Morgan Noah Segan,Andrew Hyatt
4659,Family Drama,horse teenage girl,en,0.172299,"[{""name"": ""Be Your Own Hollywood"", ""id"": 39706}]",10-01-2015,108,The summer they'll never forget,Horse Camp,5.5,Jordan Trovillion Dean Cain Sherryl Despres Dana Blackstone Annelyse Ahmad,Joel Paul Reisig
4660,Documentary,helping animals,en,0.278981,[],24-06-2014,90,,Give Me Shelter,0,Katie Cleary Robert Davi Carole Davis Alison Eastwood Tippi Hedren,Kristin Rizzo
4661,Drama Romance War,world war i silent film,en,0.785744,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",05-11-1925,151,,The Big Parade,7,John Gilbert Ren\u00e9e Ador\u00e9e Hobart Bosworth Claire McDowell Claire Adams,King Vidor
4662,Comedy,independent film,en,0.0921,"[{""name"": ""Fly High Films"", ""id"": 24248}]",01-01-2006,0,,Little Big Top,10,Sid Haig Richard Riehle Mel England Jacob Zachar Travis Betz,
4663,Romance Comedy Music,road movie,en,0.166655,"[{""name"": ""Metakwon Filmworks"", ""id"": 65815}]",28-02-2013,118,,Along the Roadside,7.7,Michael Madsen Iman Crosson Lazar Ristovski,Zoran Lisinac
4664,Drama Action Crime,prison isolation,en,18.450613,"[{""name"": ""EM Media"", ""id"": 1917}, {""name"": ""Aramid Entertainment Fund"", ""id"": 3272}, {""name"": ""Vertigo Films"", ""id"": 10393}, {""name"": ""Str8jacket Creations"", ""id"": 11366}, {""name"": ""4DH Films"", ""id"": 11367}, {""name"": ""Perfume Films"", ""id"": 11368}]",09-10-2008,92,The Man. The Myth. The Celebrity.,Bronson,6.9,Tom Hardy Matt King James Lance Kelly Adams Katy Barker,Nicolas Winding Refn
4665,Western,,en,0.58954,"[{""name"": ""3rd Partner Productions"", ""id"": 72018}]",09-10-2015,106,"Your soul is at stake in Religion, Arizona.",Western Religion,0,Peter Shinkoda Merik Tadros Peter Sherayko Miles Szanto Jonathan Erickson Eisley,James O'Brien
4666,Foreign Documentary,michigan crisis fire fighting detroit woman director,en,0.126676,"[{""name"": ""Apostle Productions"", ""id"": 23648}]",01-11-2012,86,One Year on the Front Lines of the Battle to Save Detroit,Burn,6.9,"Donald Austin Brendan ""Doogie"" Milewski Dave Parnell",Tom Putnam
4667,Romance Drama,,en,0.065155,[],24-01-2000,103,Heard any good stories lately?,Urbania,5.2,Dan Futterman Matt Keeslar Samuel Ball Lothaire Bluteau Alan Cumming,Jon Matthews
4668,Comedy,female nudity lesbian erotic movie,en,1.183892,[],25-07-1969,69,The Unpublishable Novel Is Now America's Most Controversial Film!,The Stewardesses,4.3,Christina Hart Ronald South William Condos Anita de Moulin Paula Erikson,Al Silliman Jr.
4669,Adventure Horror Science Fiction,monster atomic bomb lighthouse arctic rampage,en,2.043661,"[{""name"": ""Jack Dietz Productions"", ""id"": 19558}]",13-06-1953,80,It's alive !,"The Beast from 20,000 Fathoms",6.7,Paul Hubschmid Paula Raymond Cecil Kellaway Kenneth Tobey Donald Woods,Eug\u00e8ne Louri\u00e9
4670,Adventure Action Thriller Science Fiction,chain baby bridge post-apocalyptic dystopia,en,33.142185,"[{""name"": ""Kennedy Miller Productions"", ""id"": 2537}, {""name"": ""Mad Max Films"", ""id"": 8831}, {""name"": ""Crossroads"", ""id"": 11962}]",12-04-1979,93,The Maximum Force Of The Future,Mad Max,6.6,Mel Gibson Joanne Samuel Hugh Keays-Byrne Steve Bisley Tim Burns,George Miller
4671,Comedy Romance,independent film stuffed animal hollywood drink swinger,en,13.971674,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Independent Pictures (II)"", ""id"": 2833}, {""name"": ""The Alfred Shay Company Inc."", ""id"": 8824}]",18-10-1996,94,Cocktails first. Questions later.,Swingers,6.8,Jon Favreau Vince Vaughn Ron Livingston Patrick Van Horn Alex D\u00e9sert,Doug Liman
4672,Western,gang war victim of murder greed hostility spaghetti western,it,38.771062,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Constantin Film Produktion"", ""id"": 5755}, {""name"": ""Jolly Film"", ""id"": 10481}, {""name"": ""Ocean Films"", ""id"": 19498}]",12-09-1964,99,"In his own way he is perhaps, the most dangerous man who ever lived!",A Fistful of Dollars,7.6,Clint Eastwood Marianne Koch Gian Maria Volont\u00e9 Wolfgang Lukschy Jos\u00e9 Calvo,Sergio Leone
4673,Comedy,singer night club owner,en,0.622752,"[{""name"": ""Paramount Pictures"", ""id"": 4}]",09-02-1933,66,Mae West gives a 'Hot Time' to the nation!,She Done Him Wrong,5.1,Mae West Cary Grant Owen Moore Gilbert Roland Noah Beery,Lowell Sherman
4674,,,en,0.004998,[],11-05-2004,85,,Short Cut to Nirvana: Kumbh Mela,0,,
4675,Drama,family's daily life bible platonic love hope church service,en,0.616283,"[{""name"": ""GraceWorks Pictures"", ""id"": 33632}]",25-02-2011,101,Never Underestimate The Power Of Grace ...,The Grace Card,6.5,"Michael Joiner Michael Higgenbottom Louis Gossett, Jr. Cindy Hodge",David Evans 
4676,Drama,prison woman director,en,2.836537,[],12-10-2012,101,,Middle of Nowhere,6.6,David Oyelowo Maya Gilbert Sharon Lawrence Emayatzy Corinealdi Dondre Whitfield,Ava DuVernay
4677,Romance Drama Comedy,sex bisexual science,de,5.937602,"[{""name"": ""X-Filme Creative Pool"", ""id"": 1972}, {""name"": ""ARTE"", ""id"": 5766}, {""name"": ""Westdeutscher Rundfunk (WDR)"", ""id"": 7025}, {""name"": ""ARD Degeto Film"", ""id"": 10947}]",23-12-2010,119,Imagine the possibilities.,Three,6.3,Sophie Rois Sebastian Schipper Devid Striesow Annedore Kleist Alexander H\u00f6rbe,Tom Tykwer
4678,Music Drama,independent film,en,0.06104,"[{""name"": ""FallsApart Productions"", ""id"": 60360}]",14-01-2002,103,Sometimes going home is the hardest journey of all.,The Business of Fancydancing,8,Evan Adams Michelle St. John Gene Tagaban Swil Kanim Rebecca Carroll,Sherman Alexie
4679,Documentary,,en,0.062089,[],10-10-2008,86,A FILM ABOUT THE WORLD'S 27 MILLION MOST TERRIFYING SECRETS.,Call + Response,8,,Justin Dillon
4680,Crime Horror Thriller,hostage psychopath abandoned house serial killer slasher,en,1.077321,[],10-09-2004,90,,Malevolence,4.9,Samantha Dark Heather Magee Richard Glover R. Brandon Johnson,Stevan Mena
4681,,wife husband relationship reality reality tv reality spoof,en,0.472123,"[{""name"": ""Campbell Grobman Films"", ""id"": 48738}, {""name"": ""Blump International Films"", ""id"": 73087}]",01-01-2015,92,,Reality Show,5.5,Adam Rifkin Kelley Menighan Hensley Kendra Sue Waldman Scott Anderson,Adam Rifkin
4682,Horror,,en,4.009379,"[{""name"": ""TADORA Filmproduktions"", ""id"": 5663}, {""name"": ""Stallion Media"", ""id"": 21600}, {""name"": ""Studio 407"", ""id"": 21601}]",01-01-2010,95,,Super Hybrid,4.6,Shannon Beckner Oded Fehr Ryan Kennedy Adrien Dorval Duncan Fisher,Eric Valette
4683,Drama Comedy Horror,mumblecore mumblegore,en,3.299345,"[{""name"": ""Duplass Brothers Productions"", ""id"": 1974}]",21-01-2008,84,,Baghead,5.8,Ross Partridge Steve Zissis Greta Gerwig Elise Muller Jett Garner,Jay Duplass
4684,Horror,terror horror fear wood grove,pt,0.018716,"[{""name"": ""Gravitas Ventures"", ""id"": 44632}]",21-10-2014,89,,American Beast,0,Armin Habibovich Victoria Lachelle Livingston Oden Taylor Scott Olson,Livingston Oden
4685,Documentary,,en,0.092562,"[{""name"": ""Les Films du Jeudi"", ""id"": 54259}]",05-12-2004,59,,The Case of the Grinning Cat,7.7,,Chris Marker
4686,Drama,faith independent film religion religious fundamentalist pregnant wife,da,3.225189,"[{""name"": ""Palladium Film"", ""id"": 9079}]",09-01-1955,126,,Ordet,7.8,Birgitte Federspiel Preben Lerdorff Rye Henrik Malberg Emil Hass Christensen Ejner Federspiel,Carl Theodor Dreyer
4687,Comedy Drama Romance,sexuality roommate misfit independent film relationship,en,1.948435,"[{""name"": ""Good Dick"", ""id"": 3015}, {""name"": ""Morning Knight"", ""id"": 3016}, {""name"": ""Present Pictures"", ""id"": 3017}]",03-10-2008,86,A hard man... is good to find.,Good Dick,6.1,Marianna Palka Jason Ritter Eric Edelstein Martin Starr Mark Webber,Marianna Palka
4688,Science Fiction Drama,philosophy secret birthday professor psychology,en,31.339015,"[{""name"": ""Falling Sky Entertainment"", ""id"": 2741}]",10-06-2007,87,From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...,The Man from Earth,7.7,David Lee Smith Tony Todd John Billingsley Ellen Crawford Annika Peterson,Richard Schenkman
4689,Documentary,woman director,en,0.15066,[],15-06-2007,106,,The Trials Of Darryl Hunt,6.8,,Ricki Stern
4690,Drama Family,,en,4.980585,[],23-11-2004,86,,Samantha: An American Girl Holiday,4.6,Mia Farrow AnnaSophia Robb Olivia Ballantyne Kelsey Lewis Jordan Bridges,Nadia Tass
4691,Drama Mystery Science Fiction Thriller,independent film,en,0.145014,[],01-01-2008,89,,Yesterday Was a Lie,6,Chase Masterson John Newton Kipleigh Brown Mik Scriba Nathan Mobley,James Kerwin
4692,Music Comedy Drama,,en,0.036532,"[{""name"": ""Garden Thieves Pictures"", ""id"": 64143}, {""name"": ""A May Sky Picture Entertainment"", ""id"": 64144}]",25-09-2015,105,,Theresa Is a Mother,0,Edie McClurg C. Fraser Press Richard Poe Robert Turano Matthew Gumley,Darren Press
4693,Thriller Drama Science Fiction,woman director,en,1.045623,[],28-08-2014,93,,H.,6.5,Robin Bartlett Rebecca Dayan Will Janowitz Julian Gamble,Rania Attieh
4694,Drama,woman director,en,0.254659,[],12-09-2014,94,,Archaeology of a Woman,0,Sally Kirkland Victoria Clark James Murtaugh Karl Geary Mary Testa,Sharon Greytak
4695,Drama Comedy Family,brother sister relationship class foot race,fa,7.072118,"[{""name"": ""The Institute for the Intellectual Development of Children & Young Adults"", ""id"": 11460}]",01-08-1997,89,A Little Secret...Their Biggest Adventure!,Children of Heaven,7.8,Mohammad Amir Naji Amir Farrokh Hashemian Bahare Seddiqi,Majid Majidi
4696,Drama Romance,gay great britain one-night stand independent film gay relationship,en,1.041254,"[{""name"": ""EM Media"", ""id"": 1917}, {""name"": ""The Bureau"", ""id"": 10441}, {""name"": ""Glendale Picture Company"", ""id"": 10442}, {""name"": ""Synchronicity Films"", ""id"": 10443}]",22-09-2011,96,A (sort of) love story between two guys over a cold weekend in October.,Weekend,7.4,Tom Cullen Chris New Jonathan Race Laura Freeman Loreto Murray,Andrew Haigh
4697,Comedy Romance,independent film lesbian,en,6.722213,"[{""name"": ""40 Acres & A Mule Filmworks"", ""id"": 4319}]",08-08-1986,84,A Seriously Sexy Comedy,She's Gotta Have It,6.1,Tracy Camilla Johns Tommy Redmond Hicks John Canada Terrell Spike Lee Raye Dowell,Spike Lee
4698,Documentary,woman director,en,0.015189,[],10-03-2014,77,,Butterfly Girl,0,,Cary Bell
4699,Drama,,ro,0.327622,[],05-06-2015,104,,The World Is Mine,0,Ana Maria Guran Iulia Ciochina Oana Rusu Ana Vatamanu Florin Hritcu,Nicolae Constantin Tanase
4700,Drama Science Fiction,earth tragedy janitor planet duplicate,en,25.402697,"[{""name"": ""Artists Public Domain"", ""id"": 8145}]",22-07-2011,92,,Another Earth,6.8,William Mapother Brit Marling Matthew-Lee Erlbach DJ Flava Meggan Lennon,Mike Cahill
4701,Action Drama Romance,mexico black people pimp anti hero black panthers,en,0.132878,"[{""name"": ""Yeah"", ""id"": 2404}]",23-04-1971,97,The Film that THE MAN doesn't want you to see!,Sweet Sweetback's Baadasssss Song,4.6,Simon Chuckster Melvin Van Peebles Hubert Scales Mario Van Peebles John Dullaghan,Melvin Van Peebles
4702,Drama,,en,0.050978,[],13-07-2014,109,,Perfect Cowboy,5,Ken Roht Jeffrey Watkins William Nicol Sharon Bollum Paul Sutherland,Ken Roht
4703,Comedy Drama Romance,independent film,en,8.570328,"[{""name"": ""IFC Productions"", ""id"": 26468}, {""name"": ""InDigEnt (Independent Digital Entertainment)"", ""id"": 26469}, {""name"": ""Miramax"", ""id"": 53009}, {""name"": ""Dolly Hall Productions"", ""id"": 86089}]",01-11-2002,78,Everyone says he should date girls his own age. Oscar respectfully disagrees.,Tadpole,5.5,Aaron Stanford Kate Mara Bebe Neuwirth John Ritter Sigourney Weaver,Gary Winick
4704,Drama Music Romance,rock and roll pop irland music style love of one's life,en,19.052179,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Samson Films"", ""id"": 11571}, {""name"": ""RTE"", ""id"": 25489}]",23-03-2007,85,How often do you find the right person?,Once,7.3,Glen Hansard Mark\u00e9ta Irglov\u00e1 Hugh Walsh Gerard Hendrick Alaistair Foley,John Carney
4705,Drama,charles willeford used car salesman,en,0.619979,[],08-10-1999,90,,The Woman Chaser,4.9,Patrick Warburton Eugene Roche Ron Morgan Emily Newman Paul Malevich,Robinson Devor
4706,Documentary,autism independent film,en,0.465404,[],25-11-2009,93,,The Horse Boy,5.5,Simon Baron-Cohen Temple Grandin Roy Richard Grinker Rowan Isaacson Rupert Isaacson,Michel O. Scott
4707,Thriller Drama Horror,newspaper exorcism poltergeist priest haunting,en,2.805351,"[{""name"": ""Kintop Pictures"", ""id"": 1490}]",31-01-2012,86,Set in 1974 and based on true events.,When the Lights Went Out,5.8,Kate Ashfield Jo Hartley Martin Compston Steven Waddington Craig Parkinson,Pat Holden
4708,Action Drama,bmx,en,0.076647,"[{""name"": ""Blue Trail Entertainment"", ""id"": 72017}]",04-09-2015,98,,Heroes of Dirt,0,Joel Moody William Martinez Vivienne VanHorn,Eric Bugbee
4709,Animation Family Comedy TV Movie,holiday christmas,en,8.701183,"[{""name"": ""Warner Bros. Home Video"", ""id"": 5173}]",09-12-1965,25,"That's what Christmas is all about, Charlie Brown!",A Charlie Brown Christmas,7.5,Ann Altieri Chris Doran Sally Dryer Bill Melendez Karen Mendelson,Bill Melendez
4710,Documentary,woman director,en,0.021392,[],17-04-2015,72,,Antarctic Edge: 70° South,0,,Dena Seidel
4711,Documentary,pornography interview biography photography porno star,en,2.557258,"[{""name"": ""Cherry On Top"", ""id"": 20757}]",20-02-2013,73,16 porn stars reveal more than just their naked skin.,Aroused,7.2,Lisa Ann Kayden Kross Belladonna Katsuni Teagan Presley,Deborah Anderson
4712,Documentary,competition ping pong documentary woman director,en,0.523122,[],15-11-2014,80,,Top Spin,6.8,,Sara Newens
4713,Documentary History,capitalism economics unemployment corporate greed,en,3.284903,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Dog Eat Dog Films"", ""id"": 26137}]",01-09-1989,91,,Roger & Me,7.4,Michael Moore Roger B. Smith Rhonda Britton Fred Ross,Michael Moore
4714,,,en,0.015697,[],18-07-2014,89,,An American in Hollywood,0,J.D. Williams Hassan Johnson Anil Raman Richard Carroll Jr. Richard Carroll Jr.,Sai Varadan
4715,Science Fiction Drama Mystery,journalist independent film hand clapping game cult leader,en,6.192383,"[{""name"": ""Skyscraper Films"", ""id"": 26197}]",22-01-2011,85,,Sound of My Voice,6.3,Brit Marling Christopher Denham Nicole Vicius Davenia McFadden Kandice Stroh,Zal Batmanglij
4716,,,en,0.005256,[],25-11-2005,90,,The Blood of My Brother: A Story of Death in Iraq,0,,
4717,Drama Comedy,sister sister relationship secret romance cottage relationship,en,12.833247,"[{""name"": ""Ada Films"", ""id"": 1424}]",11-09-2011,90,A comedy about doing the right thing with the wrong person.,Your Sister's Sister,6.5,Mark Duplass Emily Blunt Rosemarie DeWitt Mike Birbiglia Kate Bayley,Lynn Shelton
4718,Comedy,independent film,en,2.213889,"[{""name"": ""Kibble Productions"", ""id"": 61307}]",03-03-2007,88,Man's best friend makes the worst accomplice.,A Dog's Breakfast,5.9,David Hewlett Kate Hewlett Paul McGillion Christopher Judge Rachel Luttrell,David Hewlett
4719,Drama Romance,sandstorm woman godard married,fr,1.112792,"[{""name"": ""Orsay Films"", ""id"": 2325}, {""name"": ""Anouchka Films"", ""id"": 14679}]",04-12-1964,95,She Loves Two Men... She is Married to One!,The Married Woman,7.1,Macha M\u00e9ril Bernard No\u00ebl Philippe Leroy Christophe Bourseiller Roger Leenhardt,Jean-Luc Godard
